Company Name,Website,Team Size,Location,Industries,YC Batch,Region,One-liner Description,Full Description,Founded Year,LinkedIn,Twitter,Facebook,Crunchbase,Founder Name,Founder Role,Founder LinkedIn,Founder Twitter,Job Title,Job Location,Apply Link
Airbnb,http://airbnb.com,6132,"San Francisco, CA, USA","Consumer, Travel, Leisure and Tourism",Winter 2009,"United States of America, America / Canada",Book accommodations around the world.,"Founded in August of 2008 and based in San Francisco, California, Airbnb is a trusted community marketplace for people to list, discover, and book unique accommodations around the world — online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences, at any price point, in more than 33,000 cities and 192 countries. And with world-class customer service and a growing community of users, Airbnb is the easiest way for people to monetize their extra space and showcase it to an audience of millions.  

No global movement springs from individuals. It takes an entire team united behind something big. Together, we work hard, we laugh a lot, we brainstorm nonstop, we use hundreds of Post-Its a week, and we give the best high-fives in town. Headquartered in San Francisco, we have satellite offices in Dublin, London, Barcelona, Paris, Milan, Copenhagen, Berlin, Moscow, São Paolo, Sydney, and Singapore.",2008,https://www.linkedin.com/company/airbnb/,https://twitter.com/Airbnb,https://www.facebook.com/airbnb/,https://www.crunchbase.com/organization/airbnb,Nathan Blecharczyk,N/A,https://www.linkedin.com/in/blecharczyk/,https://twitter.com/nathanblec,,,
"",,,,,,,,,,,,,,Brian Chesky,N/A,https://www.linkedin.com/in/brianchesky/,https://twitter.com/bchesky,,,
"",,,,,,,,,,,,,,Joe Gebbia,N/A,https://www.linkedin.com/in/jgebbia/,https://twitter.com/jgebbia,,,
Amplitude,https://amplitude.com,750,"San Francisco, CA, USA","B2B, Analytics",Winter 2012,"United States of America, America / Canada, Remote, Partly Remote",Digital Analytics Platform,"Since graduating from YC, Amplitude (W12) has made it to IPO and beyond by helping cutting edge startups become category leaders. We’ve pioneered the digital analytics category to become the go-to solution for AI pioneers (Cruise, Midjourney), apps that touch millions of consumers (Doordash, Coinbase), and the best in B2B (Atlassian, Rippling, Canva).  

With product analytics, experiment, CDP, session replay, and more, Amplitude’s digital analytics platform shows you what your users love, where they’re getting stuck, and what keeps them coming back. You want to build a generational business, and we have the capabilities and pricing plans to guide you every step of the way. Check out our special deal for YC companies and get started on your analytics journey. ",2012,https://www.linkedin.com/company/amplitude-analytics/,https://twitter.com/Amplitude_HQ,https://www.facebook.com/AmplitudeAnalytics/,https://www.crunchbase.com/organization/amplitude,Spenser Skates,N/A,https://www.linkedin.com/in/spenserskates,https://x.com/spenserskates,Senior AI Product Manager,"San Francisco, CA, US",https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76241&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=40
"",,,,,,,,,,,,,,Curtis Liu,N/A,N/A,N/A,Staff AI Product Engineer,"San Francisco, CA, US",https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76240&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=40
"",,,,,,,,,,,,,,,,,,Staff Applied AI Engineer,"San Francisco, CA, US",https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76239&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=40
"",,,,,,,,,,,,,,,,,,Senior Mobile Engineer,"San Francisco, CA, US / Vancouver, BC, CA / Vancouver, British Columbia, CA",https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D75938&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=40
